Sample.id,Continent,type,Ammonium oxidation to nitrate,Nitrogen removal,Nitrate reduction to ammonium,Nitrogen fixation,Mineralization
BL1_EDME210000091,Europe,Forest,78.61548225,407.0809567,1299.66821,340.9487316,1839.062081
BL2_EDME210000092,Europe,Forest,83.65742396,420.681395,1293.157265,337.9729641,1834.708006
BL3_EDME210000093,Europe,Grassland,81.04582378,413.1060421,1274.46189,343.6391056,1834.801988
Cjian1_BDME190026006,Asia,Wetland,205.3012473,648.7871001,1533.58692,392.3855078,1869.151557
Cjian2_BDME190025878,Asia,Wetland,168.5250975,498.9391403,1305.308608,286.457674,1624.466513
Cjian3_BDME190025999,Asia,Wetland,201.284164,590.5839244,1413.859642,368.3488616,1758.309358
Cjian4_BDME190026011,Asia,Wetland,209.7421121,631.9836401,1296.71045,288.5219305,1698.010601
Cjian5_BDME190026015,Asia,Wetland,215.5947094,625.5511169,1298.324415,296.2465064,1650.722733
Cxia1_BDME190026007,Asia,Wetland,206.0877824,675.5806356,1437.191974,327.2466713,1809.183935
Cxia2_BDME190025877,Asia,Wetland,182.359481,576.0406307,1257.048037,308.9148311,1712.511716
Cxia3_BDME190026000,Asia,Wetland,177.7325726,593.41697,1628.028191,421.1757733,1804.325982
Cxia4_BDME190026012,Asia,Wetland,170.5939157,539.7781586,1082.415031,247.8109914,1422.551645
Cxia5_BDME190026016,Asia,Wetland,221.6775805,646.8472466,1325.976226,289.7647796,1706.340075
D1_EDME210000097,Europe,Agricultural land,66.57517119,443.5223947,1395.637108,357.1778156,1871.832247
D2_EDME210000098,Europe,Agricultural land,58.57944068,405.5315764,1362.950871,345.5443264,1836.384934
D3_EDME210000099,Europe,Agricultural land,46.33549968,389.6566894,1449.256655,319.4223138,1936.616894
D4_EDME210000100,Europe,Agricultural land,75.09698969,436.1393195,1515.782289,379.8685395,1923.435696
D5_EDME210000101,Europe,Agricultural land,76.57516191,456.6911879,1505.454485,365.2442767,1944.257747
D6_EDME210000102,Europe,Agricultural land,56.20634802,377.4422267,1281.930208,333.4165156,1836.433841
ED1_EDME210000088,Europe,Agricultural land,72.75006227,451.5673076,1491.419392,375.6163906,1956.18946
ED2_EDME210000089,Europe,Agricultural land,66.36746321,428.3090149,1496.557776,374.7976173,1951.361404
ED3_EDME210000090,Europe,Agricultural land,69.60789618,444.2494257,1472.760791,366.2075914,1946.484994
ERR1051325,North America,Agricultural land,39.50091251,194.2320329,625.2028309,169.3013049,1209.558589
ERR436052,Australia,Agricultural land,29.29326714,51.07284876,207.6390939,8.670793409,412.2880703
ERR436053,Australia,Agricultural land,30.44520689,59.49463052,202.4126513,10.45380974,427.4065706
ERR436054,Australia,Agricultural land,31.26102138,54.07949477,193.1755078,10.74303836,408.5028979
ERR436055,Australia,Agricultural land,51.59084927,54.77094488,205.3959031,9.403881142,413.1705739
ERR436057,Australia,Agricultural land,51.49458327,54.45849883,207.8229559,10.83785936,437.3790317
ERR436058,Australia,Agricultural land,46.45027442,53.80292888,227.688806,12.03560411,429.6917861
ERR4660996,Africa,Forest,40.20047417,155.9021956,888.6442055,279.9771851,1599.59442
ERR4660997,Africa,Forest,24.29959184,118.805277,846.8091509,270.3148963,1479.113784
ERR4660998,Africa,Forest,35.70725177,174.2304056,876.6739349,291.991938,1597.289589
ERR4660999,Africa,Forest,12.97393824,109.0511655,856.7253693,268.3268432,1539.102127
ERR4661000,Africa,Forest,21.07025089,89.29191002,884.0638149,299.3996941,1543.680328
ERR4661001,Africa,Forest,23.86221385,108.259774,869.7956812,286.8004229,1532.23173
ERR4661002,Africa,Forest,25.22912129,105.5907416,821.978369,277.0927716,1511.943494
ERR4661003,Africa,Forest,23.74652962,103.4317085,884.1659979,292.2214591,1546.774965
ERR4661004,Africa,Forest,41.95306091,145.6472197,947.9107359,290.6588229,1489.849037
ERR4661005,Africa,Forest,46.65799366,154.7474031,892.840849,257.2121929,1440.693756
ERR4661006,Africa,Forest,48.21660053,173.7495498,1277.7833,326.9195662,2302.313134
ERR4661007,Africa,Forest,42.99436632,153.6369475,1071.446494,278.1700205,1639.956968
ERR4661008,Africa,Forest,25.08050952,144.6682828,931.5736558,287.5914693,1608.116062
ERR4661009,Africa,Forest,18.36305172,132.6464301,891.3145323,261.9338594,1599.604791
ERR4661010,Africa,Forest,32.28873999,137.7567199,943.5443599,266.3140789,1624.19119
ERR4661011,Africa,Forest,21.18412132,138.452645,933.7539897,258.0586251,1551.565909
ERR4661012,Africa,Forest,57.71030975,329.962454,985.3227927,322.9810194,1659.107351
ERR4661013,Africa,Forest,57.94490997,347.2507916,1013.263228,316.5224364,1667.346466
ERR4661014,Africa,Forest,70.71080616,353.5378595,1003.186679,301.1675256,1684.69648
ERR4661015,Africa,Forest,60.71438376,342.0472695,1031.028056,298.5996326,1673.848585
GM1_EDME210000094,Europe,Forest,37.78112601,148.7743429,1245.538112,259.1371606,1803.109133
GM2_EDME210000095,Europe,Wetland,68.85890683,391.7856367,1298.15207,366.3018888,1952.461917
GM3_EDME210000096,Europe,Grassland,56.42486759,397.7063314,1076.612519,208.1985166,1862.141665
rice1,Asia,Agricultural land,141.2647413,565.4350989,1704.768986,461.3719839,1951.343803
rice100,Asia,Agricultural land,158.861389,530.4394412,1456.638521,342.6357358,1809.328309
rice101,Asia,Agricultural land,171.6088105,549.850272,1539.80488,364.409525,1832.387858
rice102,Asia,Agricultural land,153.911065,513.0080631,1480.807256,366.6916696,1813.457915
rice103,Asia,Agricultural land,154.0304797,509.5057739,1461.670601,355.594855,1832.275981
rice104,Asia,Agricultural land,175.8473531,599.4709574,1536.228058,387.9397145,1852.030609
rice105,Asia,Agricultural land,155.9861477,520.5660602,1484.287419,348.094072,1769.698783
rice121,Asia,Agricultural land,133.7461095,497.0769753,1461.682335,378.9856681,1779.15271
rice122,Asia,Agricultural land,129.482796,454.6544925,1368.428096,359.3897502,1724.588675
rice123,Asia,Agricultural land,153.3884212,474.3775258,1340.855438,340.4817436,1724.154532
rice124,Asia,Agricultural land,164.9758402,605.4404688,1567.203328,403.5972559,1816.30196
rice125,Asia,Agricultural land,163.1259941,492.562914,1372.673766,345.485229,1738.656472
rice126,Asia,Agricultural land,158.0443387,559.3977473,1634.748682,405.03655,1801.468538
rice127,Asia,Agricultural land,153.6311643,541.9928773,1586.392682,388.4721378,1796.578736
rice128,Asia,Agricultural land,153.7264036,542.7380287,1600.223803,398.5132264,1779.346351
rice129,Asia,Agricultural land,163.0980786,590.1067439,1607.639667,385.0207488,1839.775031
rice130,Asia,Agricultural land,154.7293298,556.14862,1569.137099,397.5532548,1796.608326
rice131,Asia,Agricultural land,152.6757806,545.4722395,1595.12536,406.7875779,1808.062493
rice132,Asia,Agricultural land,146.425625,514.3705225,1546.845955,378.7646298,1775.74039
rice133,Asia,Agricultural land,128.8548329,460.218435,1294.925617,337.8463343,1731.26441
rice134,Asia,Agricultural land,163.4632534,591.9767752,1548.122666,404.7659874,1795.009089
rice135,Asia,Agricultural land,156.4811562,583.659851,737.7272497,86.58323115,1793.987719
rice136,Asia,Agricultural land,144.2278999,547.1821516,1215.449538,269.4537033,1753.964922
rice137,Asia,Agricultural land,144.7163254,475.8773721,1416.774069,370.4935856,1724.503621
rice138,Asia,Agricultural land,138.8392277,507.4456337,1436.912284,378.949026,1790.043776
rice139,Asia,Agricultural land,138.1854161,496.1874168,1451.305092,455.0501696,1458.740045
rice140,Asia,Agricultural land,115.5217249,437.8669618,1305.017639,335.689673,1736.772704
rice17,Asia,Agricultural land,139.193615,517.8982227,1557.166893,379.1390452,1820.312886
rice18,Asia,Agricultural land,139.1075514,523.5525406,1479.713857,339.4605511,1823.378894
rice19,Asia,Agricultural land,159.7253105,605.2826989,1597.461229,369.3574238,1886.991524
rice2,Asia,Agricultural land,140.6603359,561.4673528,1681.444729,413.3081309,1923.905969
rice20,Asia,Agricultural land,178.8601381,567.195036,1578.723384,371.2278121,1809.289363
rice21,Asia,Agricultural land,159.8411585,540.7962512,1548.886118,345.5944547,1819.37516
rice23,Asia,Agricultural land,172.3970671,545.6402208,1531.880217,337.6533364,1792.513185
rice24,Asia,Agricultural land,147.972153,521.7143732,1505.010579,344.9683352,1839.228382
rice25,Asia,Agricultural land,145.3850947,475.6823311,1450.562451,352.4774135,1775.207575
rice26,Asia,Agricultural land,161.9908249,511.4272813,1428.218015,413.7503588,1833.744147
rice27,Asia,Agricultural land,169.8620332,537.0458531,1513.33983,340.4965986,1836.567239
rice3,Asia,Agricultural land,143.5457999,581.2648505,1664.343933,406.7656672,1935.728323
rice39,Asia,Agricultural land,148.0447643,575.5843464,1631.818943,420.7947094,1871.354747
rice4,Asia,Agricultural land,149.8549316,566.8276583,1650.582657,399.6670951,1899.674021
rice40,Asia,Agricultural land,154.5441305,550.814236,1631.88413,395.1351838,1867.014511
rice41,Asia,Agricultural land,144.3628141,566.203376,1637.918148,390.6567395,1932.268673
rice42,Asia,Agricultural land,161.0484444,610.7417585,1695.864898,416.6696085,1917.59046
rice43,Asia,Agricultural land,162.9981428,604.8812743,1709.677848,407.4765765,1908.944671
rice5,Asia,Agricultural land,150.036925,548.5751118,1571.123745,397.1216729,1757.037812
rice96,Asia,Agricultural land,173.2582838,540.1037805,1523.753211,347.1861398,1776.157346
rice97,Asia,Agricultural land,162.7845846,528.2266731,1563.339845,365.998969,1819.602093
rice98,Asia,Agricultural land,159.9217866,516.5855879,1462.370194,342.5600373,1803.702325
rice99,Asia,Agricultural land,146.6320714,594.546488,1615.642199,403.9458458,1888.715799
s1_FDMS190655335,Asia,Agricultural land,182.2502906,617.0425244,1442.710989,331.0702289,1813.350856
S1,Asia,Agricultural land,69.92778135,344.4278755,1240.372542,378.8205569,1855.71159
S10,Asia,Wetland,118.8753102,571.19514,1500.741636,402.0823549,1886.471418
S107,Asia,Forest,21.5599499,117.0898565,1056.29615,284.6651415,1651.947222
S108,Asia,Agricultural land,174.3477749,752.2365909,1601.01053,330.0216834,1858.126558
S109,Asia,Agricultural land,33.22292724,142.3047856,1187.081181,304.1922726,1760.278674
s11_FDMS190655341,Asia,Agricultural land,148.407036,655.9957443,1569.628433,418.0400257,1835.169457
S11,Asia,Agricultural land,112.4527147,528.0340447,1469.125122,355.7116858,1892.189185
S112,Asia,Agricultural land,161.0427879,637.4565924,1457.416045,290.8078762,1795.717809
S113,Asia,Wetland,167.924165,682.6649712,1683.419301,479.7322479,1856.162301
S114,Asia,Agricultural land,183.8182953,689.5119074,1543.279816,384.8457351,1732.746541
S118,Asia,Forest,255.6438539,914.4018337,2059.143907,366.5834286,1922.121715
s12_FDMS190655342,Asia,Agricultural land,204.2953659,650.7331262,1459.032439,325.4633146,1786.484562
S12,Asia,Agricultural land,151.6680312,636.3275213,1545.798264,349.0957889,1964.737189
S120,Asia,Grassland,121.0542148,568.7926411,1437.632812,410.1917681,1751.38987
S121,Asia,Agricultural land,81.27874393,471.807251,1291.691753,338.9853314,1786.563878
S122,Asia,Agricultural land,228.3747716,751.7165453,1834.072387,410.7584348,1813.996645
S125,Asia,Agricultural land,191.0457403,786.1921318,1627.619136,268.5552792,1961.289268
S126,Asia,Agricultural land,191.0457403,786.1921318,1627.619136,268.5552792,1961.289268
S127,Asia,Agricultural land,128.2196431,515.884766,1476.661918,338.3826912,1799.500165
S128,Asia,Wetland,141.1375973,656.5350001,1652.367187,444.343864,1909.395281
S129,Asia,Agricultural land,102.1623699,470.4300043,1315.575208,318.594228,1794.036594
s13_FDMS190655343,Asia,Grassland,197.649803,627.4259923,1391.799822,349.3628344,1741.109167
S13,Asia,Agricultural land,178.7550789,732.7837875,1650.313947,434.5226235,1863.787469
S130,Asia,Forest,42.17861494,313.3827972,1075.993824,347.1572733,1767.390672
S132,Asia,Agricultural land,121.2164441,504.2775049,1568.382888,355.5032562,1857.764772
S134,Asia,Agricultural land,27.7350338,171.6428296,1157.507589,300.1349476,1704.228834
S135,Asia,Agricultural land,140.2111906,767.0955694,1681.14087,367.6832938,2031.642208
S136,Asia,Agricultural land,193.6892543,774.9230811,1964.114243,431.2595867,1940.699493
S137,Asia,Agricultural land,177.4109171,655.9826897,1507.761095,391.8872465,1808.588476
S139,Asia,Agricultural land,36.21658944,345.6157944,1131.626048,336.9149503,1786.416531
S14,Asia,Agricultural land,100.5970756,543.0136654,1507.75139,386.1988305,1878.401906
S140,Asia,Agricultural land,179.9611039,693.3313794,1690.362936,389.3554134,1852.076377
S141,Asia,Agricultural land,145.1014895,465.9417555,1766.947351,344.6050742,1753.558261
S142,Asia,Grassland,29.89192199,251.6673581,1095.655282,313.9993113,1770.388841
S143,Asia,Agricultural land,191.4935834,738.2864615,1657.707234,303.3047809,1914.611072
S145,Asia,Agricultural land,87.78685093,488.0028805,1386.391122,353.9744032,1847.49281
S155,Asia,Forest,62.89537656,344.0721447,1165.489965,329.1905688,1800.092093
s16_FDMS190655344,Asia,Forest,197.2214944,632.84723,1283.426199,353.9861487,1673.124593
S16,Asia,Agricultural land,146.4102168,614.37883,1574.201588,379.689072,1950.522805
S162,Asia,Agricultural land,113.9859345,512.9860156,1445.50033,346.8780681,1892.503058
S163,Asia,Forest,37.44326979,244.9091331,1189.079775,360.8371863,1856.967076
S165,Asia,Agricultural land,167.5885944,649.1750252,1432.99572,319.9803598,1813.457066
S168,Asia,Agricultural land,178.9289791,681.8195086,1487.832449,363.9516822,1768.357124
s17_FDMS190655345,Asia,Agricultural land,197.0207176,694.8709569,1395.859914,351.6655466,1728.599691
S17,Asia,Agricultural land,154.8867554,625.5212867,1539.737851,380.7320414,1950.5666
S171,Asia,Forest,43.90028401,216.6790613,1169.139093,301.8996939,1790.061339
S173,Asia,Forest,52.82908654,296.1563637,1280.762458,340.1613109,1843.964825
S174,Asia,Wetland,134.9479662,539.1471991,1348.199637,381.2348823,1720.831942
S175,Asia,Grassland,199.9450287,821.7886688,1895.844017,409.8106882,1874.097546
S176,Asia,Agricultural land,144.7508418,574.4655171,1357.342493,341.2206756,1806.693009
S177,Asia,Agricultural land,179.3210215,722.6760268,1630.986063,384.1798742,1719.292448
S178,Asia,Agricultural land,168.8639165,631.241539,1477.611313,322.6482502,1806.285522
S179,Asia,Agricultural land,203.2598142,756.9635706,1540.12171,319.8957135,1942.911379
s18_FDMS190655346,Asia,Agricultural land,177.2594959,639.5378213,1358.162097,347.9502908,1735.536831
S18,Asia,Agricultural land,146.7358705,571.2248274,1478.920196,380.7832354,1881.96707
S180,Asia,Agricultural land,144.9071518,574.2287632,1398.304144,413.567026,1795.374398
S182,Asia,Agricultural land,156.8735513,642.5824188,1628.719425,371.3650875,2008.044404
S184,Asia,Forest,52.30901863,212.1103993,1201.825864,400.9962396,1872.515466
S185,Asia,Wetland,50.77037735,238.1604464,1026.643254,343.6492348,1886.196442
S186,Asia,Agricultural land,81.07998768,292.0529145,1146.837501,407.6956859,1809.04199
S187,Asia,Agricultural land,128.9519796,543.8131672,1434.71256,399.0794809,1851.551933
S188,Asia,Forest,19.39520319,188.0283115,928.1541547,283.3745664,1705.989886
S191,Asia,Agricultural land,194.0226613,621.9823125,1714.160445,365.8596552,1716.748354
S193,Asia,Forest,19.6145451,208.2627878,1188.479121,271.2522866,1961.623857
S199,Asia,Forest,68.29028852,346.5944024,1151.011682,274.7739585,1817.802122
s2_FDMS190655336,Asia,Agricultural land,178.6064387,574.5551462,1327.360011,333.0072788,1704.943672
S2,Asia,Agricultural land,107.6250311,322.9208225,1197.519782,408.9574649,1892.13019
S20,Asia,Forest,46.86464808,268.670775,1175.683554,320.4960451,1646.668373
S209,Asia,Wetland,143.2712524,645.1172748,1663.389711,384.5303083,1913.891191
s21_FDMS190655347,Asia,Agricultural land,183.3777867,640.0523537,1585.451537,410.9030601,1696.560619
S21,Asia,Agricultural land,167.385226,459.9292483,1391.456896,275.9943023,1764.900502
S211,Asia,Agricultural land,194.7500173,663.8710454,1460.568157,284.966359,1782.205682
S212,Asia,Grassland,49.09637775,275.4061114,1124.154677,373.4103586,1773.845238
S213,Asia,Agricultural land,136.0852831,630.0758782,1449.168318,307.5979858,1944.620275
S215,Asia,Forest,18.94284646,159.0945847,963.7508932,290.279277,1813.748239
s22_FDMS190655348,Asia,Agricultural land,184.0541572,634.5799622,1570.207485,399.0016929,1691.774269
S22,Asia,Agricultural land,196.7500587,618.3921207,1602.796417,348.2268196,1659.324784
S223,Asia,Wetland,109.6389194,594.6512234,1565.301209,404.5137811,1996.868325
S225,Asia,Grassland,85.46644653,464.0713516,1472.641947,434.3490764,1877.786007
S226,Asia,Agricultural land,220.1854386,740.5547993,1887.708389,347.9119765,2004.030138
S227,Asia,Agricultural land,224.9957172,757.8326358,1934.909876,361.0326803,2038.70455
S228,Asia,Agricultural land,127.065173,611.0990207,1639.570625,388.3659085,1975.820907
s23_FDMS190655349,Asia,Grassland,222.2556051,706.6673736,1462.289428,375.7737611,1711.485799
S23,Asia,Agricultural land,88.06695484,327.7365878,1191.599543,320.460473,1440.580304
S233,Asia,Agricultural land,127.1663914,409.7017032,1342.554124,329.0390363,1758.560438
S234,Asia,Wetland,78.93406754,363.0456015,1375.349162,330.881911,1770.339135
S237,Asia,Agricultural land,79.7159071,382.4149595,1582.705813,416.3291724,1951.40045
S238,Asia,Agricultural land,116.5510904,526.218098,1456.281411,366.3297208,1878.530481
S239,Asia,Agricultural land,164.5302863,645.8669356,1559.796293,358.2340187,1821.939778
S24,Asia,Forest,12.49026887,134.6575099,1071.182772,299.798707,1806.972602
S242,Asia,Grassland,88.23587358,333.5759408,1330.175714,335.1724907,1835.227938
S244,Asia,Agricultural land,243.4953468,863.9709728,1755.274853,326.3483461,2003.772913
S245,Asia,Agricultural land,107.0280958,425.448545,1373.48695,348.2107353,1820.273188
S246,Asia,Grassland,126.8832019,675.08373,1613.622459,385.7939259,1961.935185
S248,Asia,Agricultural land,194.9673887,655.6375691,1592.746501,341.1035863,1795.536938
S249,Asia,Forest,89.33607162,347.8096144,1259.925917,324.934908,1767.617529
S25,Asia,Agricultural land,131.5092022,469.4867946,1616.152498,309.5896609,1887.232539
S250,Asia,Forest,130.2065344,403.3281694,1352.080667,344.1925286,1801.488581
S251,Asia,Wetland,187.2385264,860.3045501,2017.652283,436.2948661,2159.483079
S252,Asia,Forest,33.79566815,202.783431,965.8791947,292.0843064,1770.210264
S253,Asia,Forest,40.95777514,290.1124018,1088.200577,329.8667807,1816.280813
S256,Asia,Agricultural land,134.6690137,574.9580817,1243.64189,286.252785,1835.705575
S257,Asia,Wetland,218.7913877,763.8420808,1681.679848,410.8425292,1866.182071
S258,Asia,Agricultural land,140.9860557,743.787951,1615.992417,330.5149263,1772.252344
s26_FDMS190655350,Asia,Agricultural land,142.8688162,659.4240115,1675.061281,347.4791547,1896.368053
S260,Asia,Agricultural land,179.5625941,712.5204515,1158.587601,185.4456269,1865.517627
S261,Asia,Forest,53.62816297,190.8867355,1162.361069,276.4247332,1790.513323
S262,Asia,Wetland,173.4730211,817.4090489,2081.523842,515.8705087,2108.286223
S263,Asia,Agricultural land,92.67551536,462.3941423,1382.524523,374.1780893,1861.367719
S264,Asia,Agricultural land,247.5022977,732.384925,1688.933571,256.9031197,1809.17883
S265,Asia,Agricultural land,121.1875682,515.178163,1434.200851,384.5444766,1847.353493
S268,Asia,Agricultural land,172.4487363,637.0887798,1746.088772,407.0450494,1973.388345
S269,Asia,Forest,70.49612008,384.2598138,1291.238092,365.1842548,1810.914783
s27_FDMS190655351,Asia,Agricultural land,170.5317762,533.7624195,1394.256907,286.5493127,1677.894716
S270,Asia,Grassland,92.13379438,460.9727774,1452.652828,368.1508843,1856.65696
